libiconv-1.8/include/iconv.h.msvc-static                  libiconv-1.8/include/iconv_h.static-msvc
libiconv-1.8/tests/MacArabic.TXT                          libiconv-1.8/tests/Mac/Arabic.TXT
libiconv-1.8/tests/MacCentralEurope.TXT                   libiconv-1.8/tests/Mac/CentralEurope.TXT
libiconv-1.8/tests/MacCroatian.TXT                        libiconv-1.8/tests/Mac/Croatian.TXT
libiconv-1.8/tests/MacCyrillic.TXT                        libiconv-1.8/tests/Mac/Cyrillic.TXT
libiconv-1.8/tests/MacGreek.TXT                           libiconv-1.8/tests/Mac/Greek.TXT
libiconv-1.8/tests/MacHebrew.TXT                          libiconv-1.8/tests/Mac/Hebrew.TXT
libiconv-1.8/tests/MacIceland.TXT                         libiconv-1.8/tests/Mac/Iceland.TXT
libiconv-1.8/tests/MacRoman.TXT                           libiconv-1.8/tests/Mac/Roman.TXT
libiconv-1.8/tests/MacRomania.TXT                         libiconv-1.8/tests/Mac/Romania.TXT
libiconv-1.8/tests/MacThai.TXT                            libiconv-1.8/tests/Mac/Thai.TXT
libiconv-1.8/tests/MacTurkish.TXT                         libiconv-1.8/tests/Mac/Turkish.TXT
libiconv-1.8/tests/MacUkraine.TXT                         libiconv-1.8/tests/Mac/Ukraine.TXT
libiconv-1.8/tests/Makefile.in                            libiconv-1.8/tests/Makefile.in
libiconv-1.8/tests/MuleLao-1.TXT                          libiconv-1.8/tests/MuleLao-1.TXT
libiconv-1.8/tests/NEXTSTEP.TXT                           libiconv-1.8/tests/NEXTSTEP.TXT
libiconv-1.8/tests/Quotes.ASCII                           libiconv-1.8/tests/Quotes.ASCII
libiconv-1.8/tests/Quotes.ISO-8859-1                      libiconv-1.8/tests/Quotes.ISO-8859-1
libiconv-1.8/tests/Quotes.UTF-8                           libiconv-1.8/tests/Quotes.UTF-8
libiconv-1.8/tests/SHIFT-JIS.TXT                          libiconv-1.8/tests/SHIFT-JIS.TXT
libiconv-1.8/tests/TCVN.TXT                               libiconv-1.8/tests/TCVN.TXT
libiconv-1.8/tests/TIS-620.TXT                            libiconv-1.8/tests/TIS-620.TXT
libiconv-1.8/tests/UTF-7-snippet                          libiconv-1.8/tests/UTF-7-snippet
libiconv-1.8/tests/UTF-7-snippet.UTF-8                    libiconv-1.8/tests/UTF-7-snippet.UTF-8
libiconv-1.8/tests/VISCII.TXT                             libiconv-1.8/tests/VISCII.TXT
libiconv-1.8/tests/check-stateful                         libiconv-1.8/tests/stateful-check
libiconv-1.8/tests/check-stateless                        libiconv-1.8/tests/stateless-check
libiconv-1.8/tests/check-translit                         libiconv-1.8/tests/translit-check
libiconv-1.8/tests/check-translit.bat                     libiconv-1.8/tests/translit-check.bat
libiconv-1.8/tests/check-stateless.bat                    libiconv-1.8/tests/stateless-check.bat
libiconv-1.8/tests/check-stateful.bat                     libiconv-1.8/tests/stateful-check.bat
libiconv-1.8/tests/check-stateful.cmd                     libiconv-1.8/tests/stateful-check.cmd
libiconv-1.8/tests/check-stateless.cmd                    libiconv-1.8/tests/stateless-check.cmd
libiconv-1.8/tests/check-translit.cmd                     libiconv-1.8/tests/translit-check.cmd
libiconv-1.8/tests/BIG5-HKSCS.IRREVERSIBLE.TXT            libiconv-1.8/tests/BIG5-HKSCS.IRREVERSIBLE-TXT
libiconv-1.8/libcharset/tools/README                      libiconv-1.8/libcharset/tools/README
libiconv-1.8/libcharset/tools/aix-3.2.5                   libiconv-1.8/libcharset/tools/aix-3.2.5
libiconv-1.8/libcharset/tools/aix-4.1.5                   libiconv-1.8/libcharset/tools/aix-4.1.5
libiconv-1.8/libcharset/tools/aix-4.2.0                   libiconv-1.8/libcharset/tools/aix-4.2.0
libiconv-1.8/libcharset/tools/aix-4.3.2                   libiconv-1.8/libcharset/tools/aix-4.3.2
libiconv-1.8/libcharset/tools/all-charsets                libiconv-1.8/libcharset/tools/all-charsets
libiconv-1.8/libcharset/tools/all-locales                 libiconv-1.8/libcharset/tools/all-locales
libiconv-1.8/libcharset/tools/freebsd-3.3                 libiconv-1.8/libcharset/tools/freebsd-3.3
libiconv-1.8/libcharset/tools/glibc-2.1.3                 libiconv-1.8/libcharset/tools/glibc-2.1.3
libiconv-1.8/libcharset/tools/glibc-2.1.90                libiconv-1.8/libcharset/tools/glibc-2.1.90
libiconv-1.8/libcharset/tools/hpux-10.01                  libiconv-1.8/libcharset/tools/hpux-10.01
libiconv-1.8/libcharset/tools/hpux-10.20                  libiconv-1.8/libcharset/tools/hpux-10.20
libiconv-1.8/libcharset/tools/hpux-11.00                  libiconv-1.8/libcharset/tools/hpux-11.00
libiconv-1.8/libcharset/tools/irix-6.5                    libiconv-1.8/libcharset/tools/irix-6.5libiconv-1.87/libcharset/tools/locale_charmap              libiconv-1.8/libcharset/tools/locale_charmap
libiconv-1.8/libcharset/tools/locale_charset.c            libiconv-1.8/libcharset/tools/locale_charset.c
libiconv-1.8/libcharset/tools/locale_codeset.c            libiconv-1.8/libcharset/tools/localecodeset.c
libiconv-1.8/libcharset/tools/osf1-4.0a                   libiconv-1.8/libcharset/tools/osf1-4.0a
libiconv-1.8/libcharset/tools/osf1-4.0d                   libiconv-1.8/libcharset/tools/osf1-4.0d
libiconv-1.8/libcharset/tools/osf1-5.1                    libiconv-1.8/libcharset/tools/osf1-5.1
libiconv-1.8/libcharset/tools/solaris-2.4                 libiconv-1.8/libcharset/tools/solaris-2.4
libiconv-1.8/libcharset/tools/solaris-2.5.1               libiconv-1.8/libcharset/tools/solaris-2.5.1
libiconv-1.8/libcharset/tools/solaris-2.6                 libiconv-1.8/libcharset/tools/solaris-2.6
libiconv-1.8/libcharset/tools/solaris-2.6-cjk             libiconv-1.8/libcharset/tools/solaris-2.6-cjk
libiconv-1.8/libcharset/tools/solaris-2.7                 libiconv-1.8/libcharset/tools/solaris-2.7
libiconv-1.8/libcharset/tools/sunos-4.1.4                 libiconv-1.8/libcharset/tools/sunos-4.1.4
libiconv-1.8/libcharset/tools/win32                       libiconv-1.8/libcharset/tools/win32
libiconv-1.8/libcharset/tools/glibc-2.2                   libiconv-1.8/libcharset/tools/glibc-2.2
libiconv-1.8/libcharset/tools/all-charsets-X11            libiconv-1.8/libcharset/tools/all-charsets.X11
libiconv-1.8/libcharset/tools/glibc-2.2-XF86-3.3.6        libiconv-1.8/libcharset/tools/glibc-2.2-XF86-3.3.6
libiconv-1.8/libcharset/tools/glibc-2.2-XF86-4.0.1f       libiconv-1.8/libcharset/tools/glibc-2.2XF86-4.0.1f
libiconv-1.8/libcharset/tools/locale_x11encoding.c        libiconv-1.8/libcharset/tools/locale_x11encoding.c
libiconv-1.8/libcharset/tools/beos-5                      libiconv-1.8/libcharset/tools/beos-5
libiconv-1.8/libcharset/m4/ChangeLog                      libiconv-1.8/libcharset/m4/ChangeLog
libiconv-1.8/libcharset/m4/codeset.m4                     libiconv-1.8/libcharset/m4/codeset.m4
libiconv-1.8/libcharset/m4/glibc21.m4                     libiconv-1.8/libcharset/m4/glibc21.m4
libiconv-1.8/libcharset/m4/libtool.m4                     libiconv-1.8/libcharset/m4/libtool.m4
libiconv-1.8/libcharset/lib/config.charset                libiconv-1.8/libcharset/lib/config.charset
libiconv-1.8/libcharset/lib/localcharset.c                libiconv-1.8/libcharset/lib/localcharset.c
libiconv-1.8/libcharset/lib/ref-add.sin                   libiconv-1.8/libcharset/lib/ref-add.sin
libiconv-1.8/libcharset/lib/ref-del.sin                   libiconv-1.8/libcharset/lib/ref-del.sin
libiconv-1.8/libcharset/lib/ChangeLog                     libiconv-1.8/libcharset/lib/ChangeLog
libiconv-1.8/libcharset/lib/Makefile.in                   libiconv-1.8/libcharset/lib/Makefile.in
libiconv-1.8/libcharset/lib/Makefile.msvc                 libiconv-1.8/libcharset/lib/Makefile.msvc
libiconv-1.8/libcharset/AUTHORS                           libiconv-1.8/libcharset/AUTHORS
libiconv-1.8/libcharset/COPYING.LIB                       libiconv-1.8/libcharset/COPYING.LIB
libiconv-1.8/libcharset/INSTALL.generic                   libiconv-1.8/libcharset/INSTALL.generic
libiconv-1.8/libcharset/README                            libiconv-1.8/libcharset/README
libiconv-1.8/libcharset/Makefile.devel                    libiconv-1.8/libcharset/Makefile.devel
libiconv-1.8/libcharset/Makefile.in                       libiconv-1.8/libcharset/Makefile.in
libiconv-1.8/libcharset/configure.in                      libiconv-1.8/libcharset/configure.in
libiconv-1.8/libcharset/configure                         libiconv-1.8/libcharset/configure
libiconv-1.8/libcharset/INTEGRATE                         libiconv-1.8/libcharset/INTEGRATE
libiconv-1.8/libcharset/include/localcharset.h.in         libiconv-1.8/libcharset/include/localcharset.h.in
libiconv-1.8/libcharset/include/localcharset.h.msvc-shared libiconv-1.8/libcharset/include/localcharset_h.shared-msvc
libiconv-1.8/libcharset/autoconf/config.guess             libiconv-1.8/libcharset/autoconf/config.guess
libiconv-1.8/libcharset/autoconf/config.sub               libiconv-1.8/libcharset/autoconf/config.sub
libiconv-1.8/libcharset/autoconf/ltmain.sh                libiconv-1.8/libcharset/autoconf/ltmain.sh
libiconv-1.8/libcharset/autoconf/install-sh               libiconv-1.8/libcharset/autoconf/install-sh
libiconv-1.8/libcharset/autoconf/aclocal.m4               libiconv-1.8/libcharset/autoconf/aclocal.m4
libiconv-1.8/libcharset/autoconf/mkinstalldirs            libiconv-1.8/libcharset/autoconf/mkinstalldirs
libiconv-1.8/libcharset/config.h.in                       libiconv-1.8/libcharset/config.h.in
libiconv-1.8/libcharset/windows/dllexport.h               libiconv-1.8/libcharset/windows/dllexport.h
libiconv-1.8/libcharset/ChangeLog                         libiconv-1.8/libcharset/ChangeLog
libiconv-1.8/libcharset/Makefile.msvc                     libiconv-1.8/libcharset/Makefile.msvc
libiconv-1.8/libcharset/README.win32                      libiconv-1.8/libcharset/README.win32
libiconv-1.8/libcharset/config.h.msvc                     libiconv-1.8/libcharset/config.h.msvc
libiconv-1.8/lib/aliases.gperf                            libiconv-1.8/lib/aliases/aliases.gperf
libiconv-1.8/lib/aliases.h                                libiconv-1.8/lib/aliases/aliases.h
libiconv-1.8/lib/aliases_aix.h                            libiconv-1.8/lib/aliases/aix.h
libiconv-1.8/lib/aliases_dos.h                            libiconv-1.8/lib/aliases/dos.h
libiconv-1.8/lib/aliases_osf1.h                           libiconv-1.8/lib/aliases/osf1.h
libiconv-1.8/lib/cns11643.h                               libiconv-1.8/lib/cns/11643.h
libiconv-1.8/lib/cns11643_1.h                             libiconv-1.8/lib/cns/11643_1.h
libiconv-1.8/lib/cns11643_2.h                             libiconv-1.8/lib/cns/11643_2.h
libiconv-1.8/lib/cns11643_3.h                             libiconv-1.8/lib/cns/11643_3.h
libiconv-1.8/lib/cns11643_inv.h                           libiconv-1.8/lib/cns/11643_inv.h
libiconv-1.8/lib/encodings.def                            libiconv-1.8/lib/encodings/encodings.def
libiconv-1.8/lib/encodings_aix.def                        libiconv-1.8/lib/encodings/aix.def
libiconv-1.8/lib/encodings_dos.def                        libiconv-1.8/lib/encodings/dos.def
libiconv-1.8/lib/encodings_osf1.def                       libiconv-1.8/lib/encodings/osf1.def
libiconv-1.8/lib/encodings_local.def                      libiconv-1.8/lib/encodings/local.def
libiconv-1.8/lib/genaliases2.c                            libiconv-1.8/lib/2genaliases.c
libiconv-1.8/lib/georgian_academy.h                       libiconv-1.8/lib/georgian/academy.h
libiconv-1.8/lib/georgian_ps.h                            libiconv-1.8/lib/georgian/ps.h
libiconv-1.8/lib/iso2022_cn.h                             libiconv-1.8/lib/iso/2022_cn.h
libiconv-1.8/lib/iso2022_cnext.h                          libiconv-1.8/lib/iso/2022_cnext.h
libiconv-1.8/lib/iso2022_jp.h                             libiconv-1.8/lib/iso/2022_jp.h
libiconv-1.8/lib/iso2022_jp1.h                            libiconv-1.8/lib/iso/2022_jp1.h
libiconv-1.8/lib/iso2022_jp2.h                            libiconv-1.8/lib/iso/2022_jp2.h
libiconv-1.8/lib/iso2022_kr.h                             libiconv-1.8/lib/iso/2022_kr.h
libiconv-1.8/lib/iso646_cn.h                              libiconv-1.8/lib/iso/646_cn.h
libiconv-1.8/lib/iso646_jp.h                              libiconv-1.8/lib/iso/646_jp.h
libiconv-1.8/lib/iso8859_1.h                              libiconv-1.8/lib/iso/8859_1.h
libiconv-1.8/lib/iso8859_10.h                             libiconv-1.8/lib/iso/8859_10.h
libiconv-1.8/lib/iso8859_13.h                             libiconv-1.8/lib/iso/8859_13.h
libiconv-1.8/lib/iso8859_14.h                             libiconv-1.8/lib/iso/8859_14.h
libiconv-1.8/lib/iso8859_15.h                             libiconv-1.8/lib/iso/8859_15.h
libiconv-1.8/lib/iso8859_16.h                             libiconv-1.8/lib/iso/8859_16.h
libiconv-1.8/lib/iso8859_2.h                              libiconv-1.8/lib/iso/8859_2.h
libiconv-1.8/lib/iso8859_3.h                              libiconv-1.8/lib/iso/8859_3.h
libiconv-1.8/lib/iso8859_4.h                              libiconv-1.8/lib/iso/8859_4.h
libiconv-1.8/lib/iso8859_5.h                              libiconv-1.8/lib/iso/8859_5.h
libiconv-1.8/lib/iso8859_6.h                              libiconv-1.8/lib/iso/8859_6.h
libiconv-1.8/lib/iso8859_7.h                              libiconv-1.8/lib/iso/8859_7.h
libiconv-1.8/lib/iso8859_8.h                              libiconv-1.8/lib/iso/8859_8.h
libiconv-1.8/lib/iso8859_9.h                              libiconv-1.8/lib/iso/8859_9.h
libiconv-1.8/lib/isoir165.h                               libiconv-1.8/lib/iso/ir165.h
libiconv-1.8/lib/isoir165ext.h                            libiconv-1.8/lib/iso/ir165ext.h
libiconv-1.8/lib/mac_arabic.h                             libiconv-1.8/lib/mac/arabic.h
libiconv-1.8/lib/mac_centraleurope.h                      libiconv-1.8/lib/mac/centraleurope.h
libiconv-1.8/lib/mac_croatian.h                           libiconv-1.8/lib/mac/croatian.h
libiconv-1.8/lib/mac_cyrillic.h                           libiconv-1.8/lib/mac/cyrillic.h
libiconv-1.8/lib/mac_greek.h                              libiconv-1.8/lib/mac/greek.h
libiconv-1.8/lib/mac_hebrew.h                             libiconv-1.8/lib/mac/hebrew.h
libiconv-1.8/lib/mac_iceland.h                            libiconv-1.8/lib/mac/iceland.h
libiconv-1.8/lib/mac_roman.h                              libiconv-1.8/lib/mac/roman.h
libiconv-1.8/lib/mac_romania.h                            libiconv-1.8/lib/mac/romania.h
libiconv-1.8/lib/mac_thai.h                               libiconv-1.8/lib/mac/thai.h
libiconv-1.8/lib/mac_turkish.h                            libiconv-1.8/lib/mac/turkish.h
libiconv-1.8/lib/mac_ukraine.h                            libiconv-1.8/lib/mac/ukraine.h
libiconv-1.8/lib/mulelao.h                                libiconv-1.8/lib/mulelao.h
libiconv-1.8/lib/nextstep.h                               libiconv-1.8/lib/nextstep.h
libiconv-1.8/lib/sjis.h                                   libiconv-1.8/lib/sjis.h
libiconv-1.8/lib/tcvn.h                                   libiconv-1.8/lib/tcvn.h
libiconv-1.8/lib/tis620.h                                 libiconv-1.8/lib/tis620.h
libiconv-1.8/lib/translit.def                             libiconv-1.8/lib/translit.def
libiconv-1.8/lib/translit.h                               libiconv-1.8/lib/translit.h
libiconv-1.8/lib/ucs2.h                                   libiconv-1.8/lib/ucs2.h
libiconv-1.8/lib/ucs2be.h                                 libiconv-1.8/lib/ucs2be.h
libiconv-1.8/lib/ucs2internal.h                           libiconv-1.8/lib/ucs2internal.h
libiconv-1.8/lib/ucs2le.h                                 libiconv-1.8/lib/ucs2le.h
libiconv-1.8/lib/ucs2swapped.h                            libiconv-1.8/lib/ucs2swapped.h
libiconv-1.8/lib/ucs4.h                                   libiconv-1.8/lib/ucs4.h
libiconv-1.8/lib/ucs4be.h                                 libiconv-1.8/lib/ucs4be.h
libiconv-1.8/lib/ucs4internal.h                           libiconv-1.8/lib/ucs4internal.h
libiconv-1.8/lib/ucs4le.h                                 libiconv-1.8/lib/ucs4le.h
libiconv-1.8/lib/ucs4swapped.h                            libiconv-1.8/lib/ucs4swapped.h
libiconv-1.8/lib/uhc_1.h                                  libiconv-1.8/lib/uhc_1.h
libiconv-1.8/lib/uhc_2.h                                  libiconv-1.8/lib/uhc_2.h
libiconv-1.8/lib/utf16.h                                  libiconv-1.8/lib/utf16.h
libiconv-1.8/lib/utf16be.h                                libiconv-1.8/lib/utf16be.h
libiconv-1.8/lib/utf16le.h                                libiconv-1.8/lib/utf16le.h
libiconv-1.8/lib/utf7.h                                   libiconv-1.8/lib/utf7.h
libiconv-1.8/lib/utf8.h                                   libiconv-1.8/lib/utf8.h
libiconv-1.8/lib/viscii.h                                 libiconv-1.8/lib/viscii.h
libiconv-1.8/lib/encodings_dos.def                        libiconv-1.8/lib/encodings/dos.def
libiconv-1.8/lib/aliases_dos.h                            libiconv-1.8/lib/aliases/dos.h
